L(m)	Z(m)
0.0 70.9337
321.64993	170.0636
322.648843	170.5388
323.647756	170.9372
324.646669	171.2575
325.645581	171.5516
326.644494	171.8259
327.643407	172.253
328.64232	172.6991
329.641233	173.119
330.640146	173.6428
331.639058	174.2145
332.637971	174.7125
333.636884	175.1774
334.635797	175.685
335.63471	176.3196
336.633623	176.981
337.632535	177.5658
338.631448	178.1583
339.630361	178.7409
340.629274	179.2069
341.628187	179.6375
342.627099	180.1729
343.626012	180.7897
344.624925	181.4835
345.623838	182.152
346.622751	182.77
347.621664	183.3918
348.620576	184.1257
349.619489	184.8572
350.618402	185.5477
351.617315	186.3102
352.616228	187.001
353.615141	187.7194
354.614053	188.3759
355.612966	189.0931
356.611879	189.9751
357.610792	190.8153
358.609705	191.5597
359.608618	192.3786
360.60753	193.2159
361.606443	194.0172
